UNIT|LEVEL|WORDS|TRANSCRIPTION|DEFINITION|EXAMPLE|RUSSIAN|UZBEK
UNIT 5|B2|tutor|/ˈtjuː.tər/|a teacher who teaches a child outside of school, especially in order to give the child extra help with a subject they find difficult|His parents got him a tutor to help with his maths.|репетитор|repetitor
UNIT 5|B1|topic|/ˈtɒp.ɪk/|a subject that is discussed, written about, or studied|Our discussion included topics such as acid rain and the melting of polar ice.|тема|mavzu
UNIT 5|A1|university|/ˌjuː.nɪˈvɜː.sə.ti/|a place where people study for an undergraduate or postgraduate degree|Which university did you go to/were you at?|университет|universitet
UNIT 5|B2|academic|/ˌæk.əˈdem.ɪk/|relating to schools, colleges, and universities, or connected with studying and thinking|John studied hard this academic year.|учебный, академический|akademik
UNIT 5|C1|eligible|/ˈel.ɪ.dʒə.bəl/|having the necessary qualities or satisfying the necessary conditions|Only people over 18 are eligible to vote.|иметь право, способен что-то сделать|huquqli
UNIT 5|C1|mixed|/mɪkst/|showing a mixture of different feelings or opinions|There has been a mixed reaction to the changes.|смешанный|aralash
UNIT 5|C1|postgraduate|/ˌpəʊstˈɡrædʒ.u.ət/|a student who has already received one degree and is studying at a university for a more advanced degree|Lucy has a postgraduate degree in microbiology.|аспирантский|aspirant
UNIT 5|B2|relevant|/ˈrel.ə.vənt/|connected with what is happening or being discussed|Education should be relevant to the child's needs.|относящийся к делу, соответствующий|muvofiq
UNIT 5|B2|senior|/ˈsiː.ni.ər/|high or higher in rank|She's senior to me, so I have to do what she tells me.|старший, главный|katta
UNIT 5|C1|single-sex|/ˌsɪŋ.ɡəlˈseks/|for either girls or boys, but not both|I went to a single-sex school.|раздельный (об обучении)|bir jinsli
UNIT 5|C1|studious|/ˈstjuː.di.əs/|a studious person enjoys studying or spends a lot of time studying|She was a studious child, happiest when reading.|старательный|o'qishga chanqoq
UNIT 5|C1|work-related|/ˈwɜːk.rɪˌleɪ.tɪd/|connected with someone's job or with paid work in general|Many people suffer from work-related stress.|связанный с работой|ish bilan bog'liq
UNIT 5|B2|adopt|/əˈdɒpt/|to legally take another person's child into your own family and take care of him or her as your own child|They have no children of their own, but they're hoping to adopt.|принять, усыновлять|asramoq
UNIT 5|B2|analyse|/ˈæn.əl.aɪz/|to study or examine something in detail, in order to discover more about it|Researchers analyzed the purchases of 6,300 households.|анализировать|tahlil qilmoq
UNIT 5|B2|conduct|/kənˈdʌkt/|to organize and perform a particular activity|We are conducting a survey to find out what our customers think of their local bus service.|вести, проводить|o'tkazmoq
UNIT 5|B1|concentrate|/ˈkɒn.sən.treɪt/|to direct your attention or your efforts towards a particular activity, subject, or problem|Come on, concentrate! We don't have all day to do this.|сосредотачиваться|diqqatni jamlamoq
UNIT 5|B1|consider|/kənˈsɪd.ər/|to spend time thinking about a possibility or making a decision|Don't make any decisions before you've considered the situation.|обдумывать, рассматривать|o'ylab ko'rmoq
UNIT 5|A1|find out|/faɪnd aʊt/|to discover, especially where a thing or person is, either unexpectedly or by searching|I've just found a ten-pound note in my pocket.|находить, обнаруживать|topmoq
UNIT 5|B2|graduate|/ˈɡrædʒ.u.ət/|a person who has a first degree from a university or college|Chris is a physics graduate.|выпускник, обладатель ученой степени|bitiruvchi
UNIT 5|A1|learn about|/lɜːn əˈbaʊt/|to get knowledge or skill in a new subject or activity|They learn Russian at school.|учить|o'rganmoq
UNIT 5|B1|organize|/ˈɔː.ɡən.aɪz/|to make arrangements for something to happen|They organized a meeting between the teachers and students.|организовывать|tashkil qilmoq
UNIT 5|B2|overcome|/ˌəʊ.vəˈkʌm/|to defeat or succeed in controlling or dealing with something|Eventually she managed to overcome her shyness in class.|преодолевать|yengmoq
UNIT 5|C1|review|/rɪˈvjuː/|to think or talk about something again, in order to make changes to it or to make a decision about it|The committee is reviewing the current arrangement/situation.|пересматривать, делать обзор|ko'rib chiqmoq
UNIT 5|B2|revise|/rɪˈvaɪz/|to look at or consider again an idea, piece of writing, etc. in order to correct or improve it|His helpfulness today has made me revise my original opinion/impression of him.|исправлять, пересматривать|qayta ko'rib chiqmoq
UNIT 5|B2|struggle|/ˈstrʌɡ.əl/|to experience difficulty and make a very great effort in order to do something|The dog had been struggling to get free of the wire noose.|биться( над задачей и т.п.), стараться изо всех сил|kurashmoq
UNIT 5|B1|take a course|/teɪk ə ˈkɔːs/|do a course|She has recently taken a course of German.|заниматься|kurs o'tamoq
UNIT 6|B2|accuracy|/ˈæk.jə.rə.si/|the fact of being exact or correct|Her paintings are almost photographic in their accuracy.|точность, правильность|aniqlik
UNIT 6|B2|communication|/kəˌmjuː.nɪˈkeɪ.ʃən/|the act of communicating with people|There is very little communication between mother and daughter.|общение, коммуникация|aloqa
UNIT 6|B2|concept|/ˈkɒn.sept/|a principle or idea|Many voters are staunch anti-federalists, opposed to the concept of regional government.|понятие, концепция|tushuncha
UNIT 6|C2|conjecture|/kənˈdʒek.tʃər/|a guess about something based on how it seems and not on proof|There is been a lot of conjecture in the media recently about the marriage.|гипотеза, догадка|taxmin
UNIT 6|C2|dialect|/ˈdaɪ.ə.lekt/|a form of a language that people speak in a particular part of a country, containing some different words and grammar|Linguists rarely get to discover an unknown dialect or even better.|диалект|sheva
UNIT 6|C1|fluency|/ˈfluː.ən.si/|when a person is fluent, they can speak a language easily, well, and quickly|She's fluent in French and English and has a working knowledge of Spanish.|беглость|ravonlik
UNIT 6|C1|gesture|/ˈdʒes.tʃər/|a movement of the hands, arms, or head, etc. to express an idea or feeling|The prisoner raised his fist in a gesture of defiance as he was led out of the courtroom.|телодвижение, жест|imo-ishora
UNIT 6|C1|hesitation|/ˌhez.ɪˈteɪ.ʃən/|the act of pausing before doing something, especially because you are nervous or not certain|He hesitated slightly before answering the detective's question.|сомнение|ikkilanish
UNIT 6|A1|language|/ˈlæŋ.ɡwɪdʒ/|a system of communication consisting of sounds, words, and grammar|Unable to speak word of the language, he communicated with his hands.|язык|til
UNIT 6|B2|language barrier|/ˈlæŋ.ɡwɪdʒ ˌbær.i.ər/|a long pole, fence, wall, or natural feature, such as a mountain or sea, that stops people from going somewhere|Most students face with language barrier problem while learning a foreign language.|языковой барьер|til to'sig'i
UNIT 6|B2|linguist|/ˈlɪŋ.ɡwɪst/|someone who studies foreign languages or can speak them very well, or someone who teaches or studies linguistics|Linguists rarely get to discover an unknown dialect or even better.|лингвист, языковед|tilshunos
UNIT 6|B2|linguistics|/lɪŋˈɡwɪs.tɪks/|the scientific study of the structure and development of language in general or of particular languages|Recently, linguistics have found out the most ancient manuscript.|языкознание|tilshunoslik
UNIT 6|B1|means of communication|/miːnz əv kəˌmjuː.nɪˈkeɪ.ʃən/|a method or way of communicating with people|Technology is one of the best means of communication today.|средства коммуникации|aloqa vositalari
UNIT 6|B2|mother tongue|/ˌmʌð.ə ˈtʌŋ/|the first language that you learn when you are a baby, rather than a language learned at school or as an adult|However, people learn foreign languages, they don't forget their mother tongue as well.|родной язык|ona tili
UNIT 6|B2|native speaker|/ˌneɪ.tɪv ˈspiː.kər/|someone who has spoken a particular language since they were a baby, rather than having learned it as a child or adult|I know I'll never speak French like a native speaker.|носитель языка|ona tili so'zlashuvchi
UNIT 6|B1|pronunciation|/prəˌnʌn.siˈeɪ.ʃən/|how words are pronounced|One of the most important factors in taking high IELTS Speaking scores is outstanding pronunciation.|произношение|talaffuz
UNIT 6|B2|sign language|/ˈsaɪn ˌlæŋ.ɡwɪdʒ/|a system of hand and body movements representing words, used by and to people who cannot hear or talk|Sign language plays a great role in cinematography and theater.|язык знаков|imolar tili
UNIT 6|C1|vocabulary|/vəˈkæb.jə.lər.i/|all the words that exist in a particular language or subject|I have to say, I don't have much time for the pseudo vocabulary of wine snobs.|словарь|lug'at
UNIT 6|C1|incoherent|/ˌɪn.kəʊˈhɪə.rənt/|expressed in a way that is not clear, especially with words or ideas that are joined together badly|The talk she gave was incoherent and badly prepared.|бессвязный, непоследовательный|bog'lanmagan
UNIT 6|C2|inherent|/ɪnˈhɪə.rənt/|existing as a natural or basic part of something|There are dangers/risks inherent in almost every sport.|бессвязный|tabiiy
UNIT 6|C1|sophisticated|/səˈfɪs.tɪ.keɪ.tɪd/|intelligent or made in a complicated way and therefore able to do complicated tasks|I don't think I have any books that would suit your sophisticated tastes.|изощренный, сложный|murakkab
UNIT 6|B2|spontaneous|/spɒnˈteɪ.ni.əs/|happening or done in a natural, often sudden way, without any planning or without being forced|These jokes seemed spontaneous, but were in fact carefully prepared beforehand.|спонтанный|o'z-o'zidan
UNIT 6|C1|clarify|/ˈklær.ɪ.faɪ/|to make something clear or easier to understand by giving more details or a simpler explanation|The position of all shareholders will be clarified next month when we finalize our proposals.|разъяснять|aniqlamoq
UNIT 6|B2|communicate|/kəˈmjuː.nɪ.keɪt/|to share information with others by speaking, writing, moving your body, or using other signals|We can now communicate instantly with people on the other side of the world.|общаться|aloqa o'rnatmoq
UNIT 6|B2|comprehend|/ˌkɒm.prɪˈhend/|to understand something completely|He doesn't seem to comprehend the scale of the problem.|понимать|tushunmoq
UNIT 6|C1|conclude|/kənˈkluːd/|to end a speech, meeting, or piece of writing|He concluded the speech by reminding us of our responsibility.|завершать|yakunlamoq
UNIT 6|B1|confirm|/kənˈfɜːm/|to make an arrangement or meeting certain, often by phone or writing|Fights should be confirmed as hours before departure.|подтверждать|tasdiqlamoq
UNIT 6|B1|converse|/ˈkɒn.vɜːs/|the opposite|In the US, you drive on the right-hand side of the road, but in the UK the converse applies.|общаться|suhbatlashmoq
UNIT 6|B2|define|/dɪˈfaɪn/|to explain and describe the meaning and exact limits of something|Before I answer your question, could you define your terms a little more?|давать определение|ta'riflamoq
UNIT 6|C1|demonstrate|/ˈdem.ən.streɪt/|to show something and explain how it works|These problems demonstrate the importance of strategic planning.|демонстрировать|ko'rsatmoq
UNIT 6|B2|distinguish|/dɪˈstɪŋ.ɡwɪʃ/|to notice or understand the difference between two things, or to make one person or thing seem different from another|It's not the beauty so much as the range of his voice that distinguishes him from other tenors.|различать|ajratmoq
UNIT 6|B2|emerge|/ɪˈmɜːdʒ/|to appear by coming out of something or out from behind something|The language emerged in the late 1970.|появляться|paydo bo'lmoq
UNIT 6|C1|evolve|/ɪˈvɒlv/|to develop gradually, or to cause something or someone to develop gradually|The company has evolved over the years into a multi-million dollar organization.|развивать (теорию и т.п.)|rivojlanmoq
UNIT 6|A2|explain|/ɪkˈspleɪn/|to make something clear or easy to understand by describing or giving information about it|He explained how the machine worked.|объяснять|tushuntirmoq
UNIT 6|B2|express|/ɪkˈspres/|to communicate what you think or feel, by speaking or writing, or in some other way|These figures are expressed as a percentage of the total.|выражать (словами и т.п.)|ifoda etmoq
UNIT 6|C1|gesture|/ˈdʒes.tʃər/|a movement of the hands, arms, or head, etc. to express an idea or feeling|The prisoner raised his fist in a gesture of defiance as he was led out of a beautifully illustrated book/old manuscript|жестировать|imo-ishora qilmoq
UNIT 6|B2|illustrate|/ˈɪl.ə.streɪt/|to draw pictures for a book, magazine, etc.|I detected an implied criticism of the way he was treated.|иллюстрировать|tasvirlamoq
UNIT 6|C2|imply|/ɪmˈplaɪ/|to communicate an idea or feeling without saying it directly||иметь в виду|nazarda tutmoq
UNIT 6|B2|indicate|/ˈɪn.dɪ.keɪt/|to show, point, or make clear in another way|Exploratory investigations have indicated large amounts of oil below the sea bed.|указывать, показывать|ko'rsatmoq
UNIT 6|B2|pronounce|/prəˈnaʊns/|to say a word or a letter in a particular way|She pronounced his name so badly he didn't even recognize it.|произносить|talaffuz qilmoq
UNIT 6|B2|recall|/rɪˈkɔːl/|to bring the memory of a past event into your mind, and often to give a description of what you remember|The old man recalled the city as it had been before the war.|воспоминание|eslamoq
UNIT 6|B2|state|/steɪt/|a condition or way of being that exists at a particular time|The building was in a state of disrepair.|утверждать|bayan qilmoq
UNIT 6|B2|stutter|/ˈstʌt.ər/|to speak or say something, especially the first part of a word, with difficulty, for example pausing before it or repeating it several times|She stutters a little, so be patient and let her finish what she's saying.|заикание|dudullamoq
UNIT 6|B2|suggest|/səˈdʒest/|to mention an idea, possible plan, or action for other people to consider|Liz suggested that I try the shop on Mill Road.|предлагать|taklif qilmoq
UNIT 6|B2|translate|/trænzˈleɪt/|to change words into a different language|We were asked to translate a list of sentences.|переводить|tarjima qilmoq
UNIT 7|B2|accommodation|/əˌkɒm.əˈdeɪ.ʃən/|a place to live, work, stay, etc. in|There is a shortage of cheap accommodation in the city.|приют|turargoh
UNIT 7|B2|attraction|/əˈtræk.ʃən/|something that makes people want to go to a place or do a particular thing|The opportunity to travel is one of the main attractions of this job.|притяжения|jo'zibadorlik
UNIT 7|B2|community|/kəˈmjuː.nə.ti/|the people living in one particular area or people who are considered as a unit because of their common interests, social group, or nationality|He is well known in the local community.|группа|jamoa
UNIT 7|A2|countryside|/ˈkʌn.tri.saɪd/|land not in towns, cities, or industrial areas, that is either used for farming or left in its natural condition|Every summer thousands of people flock to the countryside.|сельская местность|qishloq joylari
UNIT 7|B1|destination|/ˌdes.tɪˈneɪ.ʃən/|the place where someone is going or where something is being sent or taken|The Caribbean is a popular holiday destination.|место назначения|manzil
UNIT 7|B1|eco-tourism|/ˈiː.kəʊ ˌtʊə.rɪ.zəm/|the business of organizing holidays to places of natural beauty in a way that helps local people and does not damage the environment|Eco-tourism has become one of the most famous types of tourism in recent years.|защитник окружающей среды|ekoturizm
UNIT 7|B1|effect|/ɪˈfekt/|the result of a particular influence|The radiation leak has had a disastrous effect on/upon the environment.|результат|ta'sir
UNIT 7|B2|facilities|/fəˈsɪl.ə.tiz/|a place, especially including buildings, where a particular activity happens|The hotel offers exceptional sporting facilities, including a 50 meter swimming pool.|удобства|qulayliklar
UNIT 7|B2|identification|/aɪˌden.tɪ.fɪˈkeɪ.ʃən/|the act of recognizing and naming someone or something|Most of the bodies were badly burned, making identification almost impossible.|опознавание|aniqlash
UNIT 7|C1|itinerary|/aɪˈtɪn.ər.ər.i/|a detailed plan or route of a journey|The tour operator will arrange transport and plan your itinerary.|маршрут|marshrut
UNIT 7|B1|journey|/ˈdʒɜː.ni/|the act of travelling from one place to another, especially in a vehicle|The journey took us more than a week to complete.|путешествие|sayohat
UNIT 7|B1|landscape|/ˈlænd.skeɪp/|a large area of countryside, especially in relation to its appearance|The landscape is dotted with the tents of campers and hikers.|ландшафт, пейзаж|landshaft
UNIT 7|A2|luggage|/ˈlʌɡ.ɪdʒ/|the bags, suitcases, etc. that contain your possessions and that you take with you when you are travelling|We bought some new luggage for our trip.|багаж|yuk
UNIT 7|B2|peak|/piːk/|the highest, strongest, or level of skill|We saw a victory by an athlete at the very peak of her fitness and career.|пик, вершина|cho'qqi
UNIT 7|B1|tourism|/ˈtʊə.rɪ.zəm/|the business of providing services such as transport, places to stay, or entertainment for people who are on holiday|Tourism is Venice's main industry.|туризм|turizm
UNIT 7|A2|tourist|/ˈtʊə.rɪst/|someone who visits a place for pleasure and interest, usually while on holiday|Millions of tourists visit Rome every year.|турист|turist
UNIT 7|B2|transport|/ˈtræn.spɔːt/|The movement of people or goods from one place to another|The company will arrange transport from the airport.|транспорт|transport
UNIT 7|B1|travelling|/ˈtræv.əl.ɪŋ/|The activity of making journeys; travel|How the work but I hate the travelling that is involved.|путешествовать|sayohat qilish
UNIT 7|B1|trend|/trend/|a general development or change in a situation or in the way that people are behaving|Surveys show a trend away from home-ownership and toward rented accommodation.|модний|tendentsiya
UNIT 7|A2|trip|/trɪp/|a journey in which you go somewhere, usually for a short time, and come back again|I thought we might hire a motorboat and take a trip round/around the bay.|поездка|safar
UNIT 7|A1|village|/ˈvɪl.ɪdʒ/|a group of houses and other buildings that is smaller than a town, usually in the countryside|Many people come from the outlying/surrounding villages to work in the town.|деревня, село|qishloq
UNIT 7|B2|budget|/ˈbʌdʒ.ɪt/|a plan to show how much money a person or organization will earn and how much they will need or be able to spend|Libraries are finding it increasingly difficult to remain within their budget.|бюджет|byudjet
UNIT 7|B2|adventurous|/ədˈven.tʃər.əs/|willing to try new or difficult things|I am trying to be more adventurous with my cooking.|любящий приключения|sarguzashtsevar
UNIT 7|B2|breathtaking|/ˈbreθˌteɪ.kɪŋ/|extremely exciting, beautiful, or surprising|It's hardly/scarcely/not surprising that you're putting on weight, considering how much you're eating.|захватывающий|hayratlanarli
UNIT 7|B2|coastal|/ˈkəʊ.stəl/|positioned on, or relating to the coast|Marine biologists are concerned about the effects of untreated sewage that is flowing into coastal waters.|береговая|qirg'oq
UNIT 7|C1|cosmopolitan|/ˌkɒz.məˈpɒl.ɪ.tən/|containing or having experience of people and things from many different parts of the world|New York is a highly cosmopolitan city.|многонациональный|kosmopolit
UNIT 7|B2|diverse|/daɪˈvɜːs/|including many different types of people or things|Students from countries as diverse as Colombia and Lithuania use Cambridge textbooks.|расширяться|xilma-xil
UNIT 7|B2|flexible|/ˈflek.sə.bəl/|able to change or be changed easily according to the situation|The European Union should remain flexible enough to assimilate more countries quickly.|гибкий, упругий|moslashuvchan
UNIT 7|A2|foreign|/ˈfɒr.ən/|belonging or connected to not your own country|His work provided him with the opportunity for a lot of foreign travel.|иностранный|chet el
UNIT 7|B1|local|/ˈləʊ.kəl/|from, existing in, serving, a small area, especially of a country|Many local shops will be forced to close if the new supermarket is built.|местный|mahalliy
UNIT 7|C1|luxurious|/lʌɡˈʒʊə.ri.əs/|very comfortable and expensive|We spent a luxurious weekend at hotel.|роскошный|hashamatti
UNIT 7|B2|mountainous|/ˈmaʊn.tɪ.nəs/|having a lot of mountains|One of my dreams is to travel to mountainous places.|гористый|tog'li
UNIT 7|B2|peaceful|/ˈpiːs.fəl/|without violence|Her speech about the need for a peaceful solution to the crisis fell on stony ground.|мирний, тихий|tinch
UNIT 7|B2|picturesque|/ˌpɪk.tʃərˈesk/|especially of a place) attractive in appearance, especially in an old-fashioned way|It was a pretty town with a picturesque harbor and well-preserved buildings.|живописный|chiroyli
UNIT 7|B2|polluted|/pəˈluː.tɪd/|to make an area or substance, or soil, dirty or harmful to people, animals, and plants|We will not invest in any company that pollutes the environment.|загрязненный|ifloslangan
UNIT 7|C2|quaint|/kweɪnt/|attractive because being unusual and especially old-fashioned|What a quaint idea! she said, laughing at him.|землетрясение|g'alati
UNIT 7|B2|remote|/rɪˈməʊt/|far away in distance or time, or not closely related|It happened in the remote past, so no one worries about it anymore.|отдаленный, далекий|uzoq
UNIT 7|B1|rough|/rʌf/|not even or smooth, often because of being in bad condition|It was a rough mountain road, full of stones and huge holes.|неровный|qo'pol
UNIT 7|B2|rural|/ˈrʊə.rəl/|in, of, or like the countryside|The area is still very rural and undeveloped.|сельский|qishloq
UNIT 7|C1|scenic|/ˈsiː.nɪk/|having or allowing you to see beautiful natural features|We took the scenic route home.|сценический|manzarali
UNIT 7|B2|stunning|/ˈstʌn.ɪŋ/|extremely beautiful or attractive|Both daughters are absolutely stunning.|потрясающий|ajoyib
UNIT 7|C2|tough|/tʌf/|strong and determined|Tough|третий, строгий|qattiq
UNIT 7|B1|traditional|/trəˈdɪʃ.ən.əl/|following or belonging to the customs or ways of behaving that have continued in a group of people or society for a long time without changing|The villagers retain a strong attachment to their traditional values / customs / beliefs.|традиционный|an'anaviy
UNIT 7|C1|unspoiled|/ʌnˈspɔɪld/|an unspoiled place is beautiful because it has not been changed or damaged by people|There is an island with clean, unspoiled beaches.|неиспорченный|buzilmagan
UNIT 7|B2|urban|/ˈɜː.bən/|of or in a city or town|I used to live in an urban area.|городской|shaharlik
UNIT 7|B1|travel|/ˈtræv.əl/|to make a journey, usually over a long distance|He travelled over 1,000 miles to be at the wedding.|путешествовать|sayohat qilmoq
UNIT 7|B2|affect|/əˈfekt/|to have an influence on someone or something, or to cause a change in someone or something|I was deeply affected by the film.|влиять, волновать|ta'sir qilmoq
UNIT 7|C2|fluctuate|/ˈflʌk.tʃu.eɪt/|to change, especially continuously and between one level or thing and another|Her wages fluctuate between £150 and £200 a week.|удобства|o'zgarib turmoq
UNIT 8|A1|age|/eɪdʒ/|the period of time someone has been alive or something has existed|She is starting to show/look her age.|возраст|yosh
UNIT 8|C1|archeologist|/ˌɑː.kiˈɒl.ə.dʒɪst/|the study of the buildings, graves, tools, and other objects that belonged to people who lived in the past|Excavating human remains is one of the most exciting parts of archeology.|археолог|arxeolog
UNIT 8|A2|century|/ˈsen.tʃər.i/|a period of 100 years|The city centre has scarcely changed in over a century.|век|asr
UNIT 8|B2|decade|/ˈdek.eɪd/|a period of ten years, especially a period such as 2010 to 2019|They predict that a large earthquake will strike the east coast before the end of the decade.|десятилетие|o'n yil
UNIT 8|B2|era|/ˈɪə.rə/|a period of time of which particular events or stages of development are typical|The present political system is a hangover from the colonial era.|эра, эпоха|davr
UNIT 8|B2|evidence|/ˈev.ɪ.dəns/|one or more reasons for believing that something is or is not true|The police have found no evidence of a terrorist link with the murder.|свидетельство, доказательство|dalil
UNIT 8|C2|excavation|/ˌek.skəˈveɪ.ʃən/|to remove earth that is covering very old objects buried in the ground in order to discover things about the past|Ice age bones are being excavated in the caves.|раскопки|qazish ishlari
UNIT 8|B2|generation|/ˌdʒen.ərˈeɪ.ʃən/|all the people of about the same age within a society or within a particular family|There were at least three generations - grandparents, parents and children - at the wedding.|поколение|avlod
UNIT 8|B2|the middle ages|/ˈmɪd.əl ˈeɪ.dʒɪz/|a period in European history, between about AD 1000 and AD 1500, when the power of kings, people of high rank, and the Christian Church was strong|By the Middle Ages, around the 5th century, the sport of boxing had almost disappeared.|люди среднего возраста|o'rta asrlar
UNIT 8|C2|millennia|/mɪˈlen.i.ə/|a period of 1,000 years, or the time when a period of 1,000 years ends|The corpse had lain preserved in the soil for almost two millennia.|тысячелетие|ming yillik
UNIT 8|B1|period|/ˈpɪə.ri.əd/|a length of time|Her work means that she spends long periods away from home.|период|davr
UNIT 8|B2|phase|/feɪz/|any stage in a series of events or in a process of development|The project is only in its initial phase as yet, but it's looking quite promising.|фаза|bosqich
UNIT 8|C2|pioneer|/ˌpaɪəˈnɪər/|a person who is one of the first people to do something|The pioneers went west across North America, cutting down forests and planting new crops.|пионер, первооткрыватель|pioner
UNIT 8|B2|timeline|/ˈtaɪm.laɪn/|a line that shows the time and which events have happened|You can use these tools to control what you share on your profile and timeline.|график|vaqt jadvali
UNIT 8|B1|ancient|/ˈeɪn.ʃənt/|of or from a long time ago, having lasted for a very long time|History, ancient and modern, has taught these people an intense distrust of their neighbors.|древний|qadimiy
UNIT 8|B2|chronological|/ˌkrɒn.əˈlɒdʒ.ɪ.kəl/|the order in which a series of events happened, or a list or explanation of these events in the order in which they happened|I am not sure of the chronology of events.|хронологически|xronologik
UNIT 8|C2|consecutive|/kənˈsek.jə.tɪv/|consecutive events, numbers, etc. follow one after another without an interruption|Coventry City have proved untouchable this season – they have just won their sixth consecutive game.|последовательный|ketma-ket
UNIT 8|B1|historical|/hɪˈstɒr.ɪ.kəl/|connected with studying or representing things from the past|Many important historical documents were destroyed when the library was bombed.|исторический|tarixiy
UNIT 8|C2|imminent|/ˈɪm.ɪ.nənt/|coming or likely to happen very soon|For a man in imminent danger of losing his job, he appeared quite unruffled.|надвигающийся|yaqinlashgan
UNIT 8|B2|middle-aged|/ˌmɪd.əlˈeɪdʒd/|the period of your life, usually considered to be from about 45 to 60 years old, when you are no longer young, but are not yet old|I saw more than ten middle-aged people coming across the street.|средних лет|o'rta yosh
UNIT 8|C2|nostalgic|/nɒˈstæl.dʒɪk/|a feeling of pleasure and also slight sadness when you think about things that happened in the past|Some people feel nostalgic for their schooldays.|тоскующий о прошлом|nostaljik
UNIT 8|C1|prehistoric|/ˌpriː.hɪˈstɒr.ɪk/|describing the period before there were written records|He has prehistoric views about women who have careers.|доисторический|tarixdan oldingi
UNIT 8|C1|prior|/ˈpraɪ.ər/|existing or happening before something else, or before a particular time|They had to refuse the dinner invitation because of a prior engagement.|прежний|oldingi
UNIT 8|B2|punctual|/ˈpʌŋk.tʃu.əl/|arriving, doing something, or happening at the expected, correct time; not late|The meeting started punctually at 10.00 a.m.|пунктуальный|o'z vaqtida
UNIT 8|C2|erode|/ɪˈrəʊd/|to rub or be rubbed away gradually|Wind and rain have eroded the statues into shapeless lumps of stone.|разъедать|yemirmoq
UNIT 8|C2|infer|/ɪnˈfɜːr/|to form an opinion or guess that something is true because of the information that you have|What do you infer from her refusal?|заключать|xulosa qilmoq
UNIT 8|C2|predate|/ˌpriːˈdeɪt/|to have existed or happened before another thing|These cave paintings predate any others that are known.|произойти до какого-л|oldingi bo'lmoq
UNIT 8|B2|span|/spæn/|the period of time that sometimes exists or happens|He has a short attention/concentration span.|продолжаться в течении определенного времени|davom etmoq
UNIT 8|B1|in time|/ɪn taɪm/|early enough|I got home just in time - it is starting to rain.|с течением времени|o'z vaqtida
UNIT 8|B2|on time|/ɒn taɪm/|used to describe something that arrives, happens, or is done when it should and is not late|Lenders might offer a discount after a borrower has made continuous on-time payments for three or four years.|вовремя|o'z vaqtida
UNIT 8|B2|chronologically|/ˌkrɒn.əˈlɒdʒ.ɪ.kəl.i/|the order in which a series of events happened, or a list or explanation of these events in the order in which they happened|I am not sure of the chronology of events.|хронологически|xronologik ravishda
UNIT 8|B2|formerly|/ˈfɔː.mə.li/|in the past|The position of our formerly illegal workers has now been regularized.|прежде|ilgari
UNIT 8|C1|subsequently|/ˈsʌb.sɪ.kwənt.li/|happening after something else|I came to home. Subsequently, I had some rest.|впоследствии|keyin
UNIT 8|C1|previously|/ˈpriː.vi.əs.li/|happening or existing before something or someone else|The previous owner of the house had built an extension on the back.|ранее|avval
UNIT 9|B2|agriculture|/ˈæɡ.rɪ.kʌl.tʃər/|farming|Agriculture is still largely based on traditional methods in some countries.|агрокультура|qishloq xo'jaligi
UNIT 9|B2|animal kingdom|/ˈæn.ɪ.məl ˈkɪŋ.dəm/|animals as one of the groups that all natural things can be divided into|Chimpanzees are one of the closest human relatives in the animal kingdom.|животное царства|hayvonot dunyosi
UNIT 9|B1|climate|/ˈklaɪ.mət/|the general weather conditions usually found in a particular place|The Mediterranean climate is good for growing citrus fruits and grapes.|атмосфера|iqlim
UNIT 9|B1|crop|/krɒp/|the total amount collected of) a plant such as a grain, fruit, or vegetable grown in large amounts to gradually become less, worse, or lower|After three crop failures in a row, the people face starvation.|урожай|hosil
UNIT 9|B2|decline|/dɪˈklaɪn/|to gradually become less, worse, or lower|The party's popularity has declined in the opinion polls.|упадок|pasayish
UNIT 9|C1|disaster|/dɪˈzɑː.stər/|an event that results in great harm, damage, or death, or serious difficulty|An inquiry was ordered into the recent rail disaster.|бедствие|falokat
UNIT 9|B2|ecological balance|/ˌiː.kəˈlɒdʒ.ɪ.kəl ˈbæl.əns/|a state where things are of equal weight or force|We need to keep ecological balance all the time, since it is one of the most important part of our life.|экологический баланс|ekologik muvozanat
UNIT 9|C1|ecology|/iˈkɒl.ə.dʒi/|the relationships between the air, land, water, animals, plants, etc., usually of a particular area|The oil spill caused terrible damage to the fragile ecology of the coast.|экология|ekologiya
UNIT 9|B2|evolution|/ˌiː.vəˈluː.ʃən/|the way in which living things change and develop over millions of years|Religious traditionalists objected to theories of evolution being taught in schools.|эволюция|evolyutsiya
UNIT 9|C1|extinction|/ɪkˈstɪŋk.ʃən/|not now existing|There is concern that the giant panda will soon become extinct.|вымирание|yo'qolish
UNIT 9|C1|fauna|/ˈfɔː.nə/|all the animals that live wild in a particular area|While she was in Hawaii, she studied the local flora and fauna.|животный мир|hayvonot
UNIT 9|C1|flora|/ˈflɔː.rə/|all the plants of a particular place or from a particular time in history|The flora of the Balearic Islands is very attractive.|растительный мир|o'simliklar
UNIT 9|C1|habitat|/ˈhæb.ɪ.tæt/|the natural environment in an animal or plant usually lives|With so many areas of woodland being cut down, a lot of wildlife is losing its natural habitat.|место проживание|yashash joyi
